"名仙ID";"开启等级";"符文编号";"符文名称";"Skill_ID";"符文说明";"类型1";"数值1"
1;0;0;;101;;;
1;2;1;"坚韧";201;"防护盾能力加强，所受到的伤害降低<font color='#00FF00'>60%</font>。";;
1;5;2;"霸体";301;"横扫千军结束后，造成敌人流血效果，使得后续伤害加深<font color='#00FF00'>20%</font>，持续<font color='#00FF00'>1</font>回合。";;
2;0;0;;102;;;
2;2;1;"坚韧";202;"防护盾能力加强，所受到的伤害降低<font color='#00FF00'>60%</font>。";;
2;5;2;"霸体";302;"横扫千军结束后，造成敌人流血效果，使得后续伤害加深<font color='#00FF00'>20%</font>，持续<font color='#00FF00'>1</font>回合。";;
3;0;0;;103;;;
3;2;1;"必杀";203;"激发更强的攻击力，攻击提升至<font color='#00FF00'>60%</font>。";;
3;5;2;"鼓舞";303;"鼓舞队友，使得1名队友攻击力提升<font color='#00FF00'>20%</font>，持续<font color='#00FF00'>1</font>回合。";;
4;0;0;;104;;;
4;2;1;"必杀";204;"激发更强的攻击力，攻击提升至<font color='#00FF00'>60%</font>。";;
4;5;2;"鼓舞";304;"鼓舞队友，使得1名队友攻击力提升<font color='#00FF00'>20%</font>，持续<font color='#00FF00'>1</font>回合。";;
5;0;0;;105;;;
5;2;1;"惊雷";205;"首要目标闪电威力加强，受到后续伤害加深至<font color='#00FF00'>40%</font>。";;
5;5;2;"领域";305;"扩大雷霆万钧的伤害加深范围，至扇形区域。";;
6;0;0;;106;;;
6;2;1;"惊雷";206;"首要目标闪电威力加强，受到后续伤害加深至<font color='#00FF00'>40%</font>。";;
6;5;2;"领域";306;"扩大雷霆万钧的伤害加深范围，至扇形区域。";;
11;0;0;;111;;;
11;2;1;"警觉";211;"延长护心镜持续时间，反击轮数延长至<font color='#00FF00'>2</font>回合。";;
11;5;2;"复仇";311;"加强护心镜威力，造成的反击伤害提升<font color='#00FF00'>80%</font>。";;
12;0;0;;112;;;
12;2;1;"迷惑";212;"荷花散发香气，使首要目标攻击力降低<font color='#00FF00'>40%</font>。";;
12;5;2;"落花";312;"扩大仙女散花范围，攻击力降低效果扩大至目标及身后区域。";;
13;0;0;;113;;;
13;2;1;"重创";213;"加强番天巨印能力，对首要目标伤害增加至<font color='#00FF00'>30%</font>。";;
13;5;2;"遮天";313;"扩大番天巨印溅射威力，对其周围区域伤害增加<font color='#00FF00'>15%</font>。";;
21;0;0;;121;;;
21;2;1;"铁甲";221;"吸入更多的罡风，防御提高至<font color='#00FF00'>5000</font>。";;
21;5;2;"野蛮";321;"发挥灭天三叉戟更强的神力，牛气冲天造成的伤害增加<font color='#00FF00'>20%</font>。";;
22;0;0;;122;;;
22;2;1;"冥火";222;"提升幽冥鬼火威力，冥火伤害加深<font color='#00FF00'>20%</font>。";;
22;5;2;"灼烧";322;"延长冥火伤害，持续时间延长至<font color='#00FF00'>3</font>回合。";;
23;0;0;;123;;;
23;2;1;"缓兵";223;"加强雷雨打击对首要目标的威力，使得速度降低至<font color='#00FF00'>50%</font>。";;
23;5;2;"弥漫";323;"扩大雷雨打击的降低速度范围，至扇形区域。";;
