"任务ID";"任务名字";"任务类型";"任务等级";"任务条件(这个任务不完成，此任务不可做)"
301001;"童心烂漫";0;;
301002;"元神心得";0;;
301003;"玄武甘泉";0;;
301004;"名仙喜好";0;;
301005;"门庭冷落";0;;
301006;"星宿特性";0;;
301007;"传说神器";0;;
301008;"押运美酒";0;;
301009;"雪中送炭";0;;
301010;"捍卫家园";0;;
301011;"惹人喜爱";0;;
301012;"救救小花";0;;
301013;"消灭蜘蛛";1;;
301014;"萤火微光";1;;
301015;"猪满为患";1;;
301016;"幽蝠巨爪";1;;
301017;"肉虫之灾";1;;
301018;"阻止异变";1;;
301019;"上佳药材";1;;
301020;"精气枯竭";1;;
301021;"撒播花种";2;;
301022;"甘露救急";2;;
301023;"手艺超群";2;;
301024;"泉水妙用";3;;
301025;"时令鲜蔬";3;;
301026;"可爱花环";3;;
301027;"探望神龙";4;;
301028;"酒馆受损";4;;
301029;"火毒侵袭";4;;
301030;"拜访神龙";5;;
302001;"神弓由来";0;30;
302002;"国之由来";0;30;
302003;"夸父追日";0;30;102191
302004;"九阳烈日";0;30;
302005;"孟记靓汤";0;30;
302006;"赤脚缘由";0;30;
302007;"往事如烟";0;30;
302008;"饮水解燥";0;30;
302009;"礼轻义重";0;30;
302010;"鱼水情深";0;30;102191
302011;"寻恩求索";0;30;102191
302012;"礼尚往来";0;30;
302013;"和田美玉";0;30;102191
302014;"雪中送炭";0;30;102101
302015;"夺回宝物";1;30;
302016;"灭绝毒物";1;30;
302017;"利齿磨箭";1;30;102051
302018;"羽毛装饰";1;30;102066
302019;"铲除妖道";1;30;102076
302020;"神弓失窃";1;30;102176
302021;"守护封印";1;30;102226
302022;"磨箭";2;30;
302023;"失而复得";3;30;
302024;"宝物丢失";3;30;102191
302025;"烧制汤碗";2;30;
302026;"破碗待补";2;30;
302027;"良木为佳";3;30;
302028;"店铺受损";2;30;
302029;"检查封印";4;30;102226
302030;"确保安全";4;30;102311
303001;"本源之说";0;50;103171
303002;"姐妹情深";0;50;103171
303003;"吴刚折桂";0;50;103171
303004;"耳听八方";0;50;103126
303005;"持之以恒";0;50;103146
303006;"天降神笔";0;50;103146
303007;"不死之王";0;50;
303008;"芙蓉香饼";0;50;103171
303009;"手艺超群";0;50;103171
303010;"削铁如泥";0;50;103146
303011;"琴声悠悠";0;50;103171
303012;"镇妖符咒";0;50;103171
303013;"酒坛祸害";1;50;
303014;"守卫失守";1;50;
303015;"居民受伤";1;50;
303016;"寻回乐谱";1;50;
303017;"龙筋为弦";1;50;103061
303018;"蛊惑人心";1;50;103071
303019;"保卫封印";1;50;103121
303020;"失心吴刚";1;50;103141
303021;"以防不测";1;50;103166
303022;"枯木逢春";2;50;103126
303023;"良木为佳";3;50;103171
303024;"桂色撩人";2;50;103126
303025;"红叶书签";3;50;103171
303026;"乾坤铃";4;50;103171
303027;"浑天鼓";4;50;103126
303028;"小心谨慎";4;50;103146
